"sector_de_actividad_económica","anio","vab_pb","provincia"
"Fabricación de maquinaria y aparatos eléctricos  n.c.p.","2005","290512322.37856","CABA"
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones","2005","128641628.30098","CABA"
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes","2005","183450114.13511","CABA"
"Fabricación de vehículos automotores, remolques y semirremolques","2005","337616915.13189","CABA"
"Fabricación de equipo de transporte n.c.p.","2005","73461806.06725","CABA"
"Fabricación de muebles y colchones; industrias manufactureras n.c.p.","2005","575966588.48412","CABA"
"Reciclamiento","2005","8939985.09283","CABA"
"Reparación, mantenimiento e instalación de maquinas y equipos","2005","226313962.93017","CABA"
"Generación captación y distribución de energía eléctrica","2005","984008472.20128","CABA"
"Fabricación de gas ; distribución de combustibles gaseosos por tuberías","2005","272106447.87668","CABA"
"Captación , depuración y distribución de agua","2005","385560887.80932","CABA"
"Construcción","2005","3095624436.07773","CABA"
"Comercio mayorista, minorista y reparaciones","2005","14004821981.15475","CABA"
"Hoteles; campamentos y otros tipos de hospedaje temporal","2005","599451212.52513","CABA"
"Restaurantes, bares y cantinas","2005","2339132727.15095","CABA"
"Transporte","2005","4971232430.39631","CABA"
"Comunicaciones","2005","5059238525.39704","CABA"
"Intermediación financiera y otros servicios financieros","2005","6390419039.00338","CABA"
"Servicios de seguros","2005","1955038000.47873","CABA"
"Servicios auxiliares a la actividad financiera","2005","838191877.69980","CABA"
"Propiedad de la vivienda","2005","4997947098.79689","CABA"
"Resto","2005","13838592382.73877","CABA"
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","2005","5108664529.71663","CABA"
"Enseñanza pública","2005","1334239074.17873","CABA"
"Enseñanza privada","2005","1325359291.97134","CABA"
"Salud pública","2005","970705640.64853","CABA"
"Salud privada","2005","3249335599.95121","CABA"
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares","2005","666882216.19097","CABA"
"Asociaciones","2005","1664839176.73497","CABA"
"Servicios culturales y deportivos. Otras actividades","2005","2571177961.52866","CABA"
"Servicio doméstico","2005","992083492.83501","CABA"
"Agricultura, ganaderia, caza y servicios conexos","2006","175023380.53207","CABA"
"Silvicultura, extracción de madera y servicios conexos","2006","190653.67138","CABA"
"Pesca","2006","46523974.69336","CABA"
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","2006","758665702.87998","CABA"
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","2006","150621913.63096","CABA"
"Elaboración de productos alimenticios y bebidas","2006","2712457033.06308","CABA"
"Elaboración de productos de tabaco","2006","69947573.53717","CABA"
"Fabricación de productos textiles","2006","661629188.70359","CABA"
"Fabricación de prendas de vestir; terminación y teñido de pieles","2006","1394912672.75105","CABA"
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes","2006","360433942.04676","CABA"
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","2006","162218063.09521","CABA"
"Fabricación de papel y de  productos de papel","2006","459378289.06243","CABA"
"Edición e impresión; reproducción de grabaciones","2006","2133923726.78446","CABA"
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear","2006","464808693.77593","CABA"
"Fabricación de sustancias y productos químicos","2006","2841679724.38324","CABA"
"Fabricación de productos de caucho y plástico","2006","453406321.93754","CABA"
"Fabricación de productos minerales no metálicos","2006","290019628.16307","CABA"
"Fabricación de metales comunes","2006","544538255.21575","CABA"
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","2006","592897066.96447","CABA"
"Fabricación de maquinaria y equipo n.c.p.","2006","794458216.51592","CABA"
"Fabricación de maquinaria de oficina, contabilidad e informática","2006","156260921.15621","CABA"
"Fabricación de maquinaria y aparatos eléctricos  n.c.p.","2006","297119550.40414","CABA"
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones","2006","159775052.25986","CABA"
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes","2006","195847799.67161","CABA"
"Fabricación de vehículos automotores, remolques y semirremolques","2006","383783630.67406","CABA"
"Fabricación de equipo de transporte n.c.p.","2006","74852086.42375","CABA"
"Fabricación de muebles y colchones; industrias manufactureras n.c.p.","2006","681983594.28396","CABA"
"Reciclamiento","2006","12744091.22100","CABA"
"Reparación, mantenimiento e instalación de maquinas y equipos","2006","238477887.24589","CABA"
"Generación captación y distribución de energía eléctrica","2006","1016808975.31754","CABA"
"Fabricación de gas ; distribución de combustibles gaseosos por tuberías","2006","286907758.57057","CABA"
